frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.069233,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.138704,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.208418,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.278366,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.348562,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.419001,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.489683,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.560612,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.631784,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.703203,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.774866,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.846781,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.918943,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
20.991358,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.064020,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.136936,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.210104,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.283520,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.357197,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.431126,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.505312,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.579756,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.654457,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.729416,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.804630,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.880110,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
21.955851,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.031853,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.108118,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.184649,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.261442,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.338503,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.415825,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
22.493420,-200.000,0.000000,0.000000,0.000,-27.212,-25.623,0.000000
